group;date;source;text_lower;Comment;Обещание;Проверяемость;Конкретность;Выполнение;Тема
sprav_ross;2021-09-14;Социальные сети;отменим егэ;🇷🇺 будущее россии в ваших руках! несмотря на малочисленность нашей фракции в госдуме vii созыва она является самой профессиональной и производительной – по количеству принятых законов на одного депутата мы занимаем первое место. мы внесли несколько принципиальных поправок в конституцию рф, отменили внутрисетевой роуминг среди регионов. мы единственная фракция, которая ежегодно голосует против принятия бюджета, и готовит его альтернативный вариант. мы будем и дальше работать для вашего блага: отменим егэ и пенсионную реформу, увеличим пенсию до 31 тысячи, а мрот до 50 тысяч рублей, введем справедливый базовый доход по праву рождения. Депутаты от фракций ЛДПР, КПРФ и «Справедливая Россия — За правду», а также сенатор Елена Афанасьева внесли в Госдуму законопроект об отмене Единого государственного экзамена (ЕГЭ) в пользу традиционных государственных экзаменов. Документ опубликован в думской базе данных.;1;1;1;0.5;Образование
sprav_ross;2021-09-14;Социальные сети;отменим пенсионную реформу;;1;1;1;0.5;Социальная политика
sprav_ross;2021-09-14;Социальные сети;увеличим пенсию до 31 тысячи;;1;1;1;0;Социальная политика
sprav_ross;2021-09-14;Социальные сети;увеличим мрот до 50 тысяч рублей;В апреле 2025 года депутаты СРЗП внесли законопроект об увеличении МРОТ до 34 тысяч рублей с 1 января 2026 года. Этот законопроект был отклонен.;1;1;1;0.5;Социальная политика
sprav_ross;2021-09-14;Социальные сети;Введем справедливый базовый доход по праву рождения;;1;1;1;0.5;Социальная политика
sprav_ross;2021-09-13;Социальные сети;программа туристического кешбэка должна быть расширена в 2022 году;"этим летом отечественные курорты поставили рекорд по числу туристов, их посетило 20 миллионов граждан. причиной этому стало закрытие границ в связи с пандемией. цены на российских курортах тоже были рекордные. существенным плюсом поездки стал туристический кешбэк, составивший 20% от стоимости отдыха. программа окупилась во всех смыслах. ростуризм отмечает, что на один рубль государственных денег бюджеты получили пять. несмотря на это, в следующем году его решили оставить только на низкий сезон. 

положительный опыт выплаты туристического кешбэка нужно распространить на весь летний период и одновременно отменить курортный сбор, который почти ничего не решает в плане инфраструктуры, но при этом прибавляет к стоимости отдыха. ""развитием российских курортов должны заниматься не туристы, а государство. и заниматься так, чтобы туристы хотели на них вернуться"", – отметил [id12086666|сергей миронов].";1;1;0;0.5;Экономика и инфраструктура
sprav_ross;2021-09-13;Социальные сети;мораторий на смертную казнь нужно отменять;Председатель партии «Справедливая Россия — За правду» Сергей Миронов направил письмо на имя президента России Владимира Путина с просьбой инициировать пересмотр позиции Конституционного суда в отношении смертной казни.;1;1;1;0.5;Правопорядок и безопасность
sprav_ross;2021-09-08;Социальные сети;признать материнство как профессию;;1;1;1;0;Социальная политика
sprav_ross;2021-09-08;Социальные сети;обеспечить мам справедливым материнским доходом с момента рождения ребенка;В Госдуме предложили увеличить сумму материнского капитала еще на 1 млн руб. в случае рождения первого ребенка до достижения женщиной 24 лет.;1;1;1;0.5;Социальная политика
sprav_ross;2021-09-08;Социальные сети;ввести материнский стаж;;1;1;1;0;Социальная политика
sprav_ross;2021-09-07;Социальные сети;"провести амнистию для ""серых"" зарплат на удобных для государства, граждан и компаний условиях. амнистия должна носить временный характер. за время ее действия предприятия и сотрудники смогут задекларировать реальные зарплаты без штрафов и санкций, а также получить по согласованию с властями отсрочку по уплате налогов на срок до шести месяцев или списать часть долга.
";?;1;1;1;0.5;Экономика и инфраструктура
sprav_ross;2021-09-07;Социальные сети;уменьшить налоговую нагрузку на зарплаты;;1;1;1;0.5;Экономика и инфраструктура
sprav_ross;2021-09-07;Социальные сети;снизить социальные взносы с 30% до 15%;;1;1;1;0.5;Социальная политика
sprav_ross;2021-09-07;Социальные сети;для богатых, которые платят взносы в социальные фонды по пониженной ставке, нужно, напротив, поднять ее в два раза – до 30%;;1;1;1;0;Экономика и инфраструктура
sprav_ross;2021-09-01;Социальные сети;увеличить зарплату учителя до 200% от средней по региону, в котором он работает. и это без учета надбавок;;1;1;1;0;Образование
sprav_ross;2021-08-30;Социальные сети;введение нового ежегодного пособия;К началу учебного года;1;1;1;0.5;Социальная политика
sprav_ross;2021-08-24;Социальные сети;денежные переводы должны облагаться налогом;О мигрантах;1;1;1;0.5;Экономика и инфраструктура
sprav_ross;2021-08-19;Социальные сети;засчитывать в трудовой стаж работу волонтеров;;1;1;1;0;Труд и занятость
